Detector, Descriptor ,Matches, Time detectors (ms), Time descriptors (ms), Total time
SHITOMASI,BRISK,93,7.1526378,0.30875096,7.4613868
SHITOMASI,BRISK,86,6.9459362,0.2412074,7.1871436
SHITOMASI,BRISK,78,6.9189176,0.2464945,7.165417
SHITOMASI,BRISK,88,7.1061466,0.25023222,7.35637
SHITOMASI,BRISK,80,7.6911968,0.24792138,7.9391172
SHITOMASI,BRISK,77,7.181048,0.2384144,7.4194624
SHITOMASI,BRISK,83,8.8692058,0.2461172,9.115323
SHITOMASI,BRISK,84,6.6520342,0.2450392,6.8970734
SHITOMASI,BRISK,80,6.9912416,0.25141116,7.2426508
SHITOMASI,BRIEF,113,7.7430192,0.27143942,8.0144596
SHITOMASI,BRIEF,109,7.0727188,0.21121352,7.2839382
SHITOMASI,BRIEF,102,7.7527506,0.21845768,7.9712122
SHITOMASI,BRIEF,99,7.0306278,0.25510674,7.2857414
SHITOMASI,BRIEF,100,8.1529238,0.28133938,8.4342622
SHITOMASI,BRIEF,100,8.9081902,0.20429374,9.112481
SHITOMASI,BRIEF,98,8.5601922,0.20676726,8.7669526
SHITOMASI,BRIEF,107,7.6752228,0.24898076,7.9242016
SHITOMASI,BRIEF,98,6.8410664,0.22888096,7.0699454
SHITOMASI,ORB,104,6.9276396,0.27513206,7.2027746
SHITOMASI,ORB,100,7.2935324,0.21122038,7.5047518
SHITOMASI,ORB,97,9.93622,0.25703734,10.193274
SHITOMASI,ORB,100,6.8392534,0.22016288,7.0594202
SHITOMASI,ORB,101,7.4286646,0.24281558,7.6714792
SHITOMASI,ORB,95,8.0542574,0.25779586,8.3120562
SHITOMASI,ORB,96,8.4334096,0.2062263,8.6396408
SHITOMASI,ORB,102,7.6239296,0.20507186,7.8290044
SHITOMASI,ORB,95,7.6927844,0.21185444,7.9046408
SHITOMASI,FREAK,84,7.229068,0.33891732,7.5679814
SHITOMASI,FREAK,88,7.1619968,0.2480919,7.4100936
